dist,op,cache_mb,throughput_mops,latency_us,bandwidth_gbps
uniform,lookup,64,2.71633,20.616,0
uniform,lookup,128,2.56699,21.8154,0
uniform,lookup,256,2.5882,21.6367,0
uniform,lookup,512,2.54221,22.0281,0
uniform,scan,64,1.12762,49.6619,0
uniform,scan,128,1.10826,50.5295,0
uniform,scan,256,1.12798,49.6461,0
uniform,scan,512,1.67599,33.4132,0
zipf99,lookup,64,4.29298,13.0446,0
zipf99,lookup,128,2.65492,21.0929,0
zipf99,lookup,256,4.2734,13.1043,0
zipf99,lookup,512,4.27887,13.0876,0
zipf99,scan,64,1.75098,31.9821,0
zipf99,scan,128,1.73056,32.3594,0
zipf99,scan,256,1.72568,32.451,0
zipf99,scan,512,1.72883,32.3919,0
